"Latitud","Longitud","placas"
20.0405,-105.163,"Rivera"
17.5987,-95.1105,"Norteamérica"
27.77,-111.87,"Pacífico"
18.4665,-101.306,"Rivera"
14.9518,-94.1207,"Caribe"
15.7418,-93.8732,"Caribe"
14.24,-92.22,"Caribe"
22.8072,-102.584,"Norteamérica"
16.06,-94.13,"Caribe"
31.6348,-116.015,"Pacífico"
32.25,-115.29,"Pacífico"
14.1842,-91.5432,"Caribe"
32.48,-115.24,"Pacífico"
20.5528,-105.582,"Rivera"
19.8588,-104.302,"Rivera"
24.7008,-109.258,"Pacífico"
16.3152,-93.4277,"Caribe"
19.4005,-102.234,"Rivera"
18.1115,-103.411,"Rivera"
18.17,-101.69,"Rivera"
19.2993,-104.33,"Rivera"
16.8467,-98.9768,"Cocos"
16.1475,-98.447,"Cocos"
19.8057,-96.3425,"Norteamérica"
32.4418,-115.534,"Pacífico"
14.01,-92.23,"Caribe"
15.13,-92.04,"Caribe"
31.2722,-114.322,"Pacífico"
30.26,-114.04,"Pacífico"
16.234,-97.9203,"Cocos"
32.3667,-115.203,"Pacífico"
30.0225,-113.87,"Pacífico"
27.485,-111.418,"Norteamérica"
32.26,-115.16,"Pacífico"
17.04,-94.24,"Caribe"
31.4428,-115.941,"Pacífico"
31.4098,-115.529,"Pacífico"
19.65,-99.61,"Norteamérica"
20.3318,-99.0453,"Norteamérica"
32.34,-115.35,"Pacífico"
16.3168,-98.2775,"Cocos"
14.5503,-92.7615,"Caribe"
16.2688,-97.9898,"Cocos"
16.26,-95.68,"Cocos"
19.153,-104.025,"Rivera"
27.46,-111.37,"Norteamérica"
16.9138,-100.286,"Cocos"
25.2403,-109.785,"Norteamérica"
30.3777,-114.207,"Pacífico"
26.59,-109.46,"Norteamérica"
15.0032,-94.4072,"Caribe"
18.5,-94.43,"Norteamérica"
13.8193,-92.2723,"Caribe"
18.1173,-103.331,"Rivera"
16.9562,-94.8918,"Cocos"
19.4382,-102.222,"Rivera"
19.4987,-102.131,"Rivera"
15.41,-93.57,"Caribe"
15.59,-97.56,"Cocos"
15.9453,-98.004,"Cocos"
19.2307,-104.844,"Rivera"
14.7168,-93.6917,"Caribe"
17.48,-94.93,"Norteamérica"
27.89,-112.05,"Pacífico"
17.76,-100.49,"Cocos"
16.09,-98.28,"Cocos"
19.4565,-102.179,"Rivera"
18.1225,-103.274,"Rivera"
18.2953,-97.319,"Norteamérica"
14.9447,-94.3207,"Caribe"
28.8278,-113.164,"Pacífico"
17.69,-94.65,"Norteamérica"
19.4412,-102.204,"Rivera"
17.395,-94.672,"Norteamérica"
15.8885,-98.2632,"Cocos"
19.5215,-102.121,"Rivera"
